a	(29329,101178)
b	(14732,64980)
c	(12764,81465)
d	(10050,51522)
e	(6390,35012)
f	(12078,59054)
g	(7172,37234)
h	(21513,85550)
i	(20936,47498)
j	(911,5253)
k	(2947,13616)
l	(10249,48364)
m	(19273,79099)
n	(9557,36071)
o	(14521,43300)
p	(8664,54681)
q	(705,4271)
r	(5172,30600)
s	(22277,111871)
t	(44495,172155)
u	(3109,14170)
v	(2048,12066)
w	(20117,87740)
x	(12,27)
y	(8399,29557)
z	(20,98)
a	(4138,13699)
b	(2859,12676)
c	(1533,9517)
d	(1934,9796)
e	(1028,5296)
f	(2269,10740)
g	(880,4556)
h	(3352,12839)
i	(2707,6614)
j	(113,578)
k	(308,1473)
l	(1941,9122)
m	(2629,10077)
n	(1369,5225)
o	(2154,6127)
p	(1356,8193)
q	(135,770)
r	(824,4779)
s	(4409,21914)
t	(7869,30684)
u	(438,2422)
v	(285,1567)
w	(3512,16104)
x	(62,235)
y	(550,2128)
z	(1,7)
a	(30800,99158)
b	(16260,71824)
c	(10991,66405)
d	(10687,51972)
e	(5968,32493)
f	(12937,63619)
g	(7014,34869)
h	(22043,87279)
i	(24245,51542)
j	(1340,7138)
k	(2740,13588)
l	(10688,52081)
m	(20839,83455)
n	(9635,35895)
o	(14266,41344)
p	(10377,65417)
q	(736,4612)
r	(4423,27417)
s	(24450,118923)
t	(43112,165251)
u	(2736,13007)
v	(2456,15190)
w	(21220,92909)
x	(1,9)
y	(10714,37480)
z	(15,79)
a	(24433,78534)
b	(13326,62108)
c	(9618,62423)
d	(8529,42131)
e	(5867,33124)
f	(11105,56075)
g	(6740,37116)
h	(18060,75039)
i	(16851,36964)
j	(1130,5201)
k	(4263,19428)
l	(8688,39769)
m	(15319,60750)
n	(7300,29088)
o	(12973,35599)
p	(7642,47908)
q	(1040,5808)
r	(4651,28738)
s	(18421,94321)
t	(36754,139973)
u	(2858,12822)
v	(1950,8892)
w	(17169,78193)
x	(28,56)
y	(6899,24949)
z	(38,189)
