n	(1369,5225)
n	(7300,29088)
n	(9557,36071)
n	(9635,35895)
o	(12973,35599)
o	(14266,41344)
o	(14521,43300)
o	(2154,6127)
p	(10377,65417)
p	(1356,8193)
p	(7642,47908)
p	(8664,54681)
q	(1040,5808)
q	(135,770)
q	(705,4271)
q	(736,4612)
r	(4423,27417)
r	(4651,28738)
r	(5172,30600)
r	(824,4779)
s	(18421,94321)
s	(22277,111871)
s	(24450,118923)
s	(4409,21914)
t	(36754,139973)
t	(43112,165251)
t	(44495,172155)
t	(7869,30684)
u	(2736,13007)
u	(2858,12822)
u	(3109,14170)
u	(438,2422)
v	(1950,8892)
v	(2048,12066)
v	(2456,15190)
v	(285,1567)
w	(17169,78193)
w	(20117,87740)
w	(21220,92909)
w	(3512,16104)
x	(1,9)
x	(12,27)
x	(28,56)
x	(62,235)
y	(10714,37480)
y	(550,2128)
y	(6899,24949)
y	(8399,29557)
z	(1,7)
z	(15,79)
z	(20,98)
z	(38,189)
